wesley.ns.cloudflare.com	172.64.33.246 173.245.59.246 108.162.193.246 
ns44.domaincontrol.com	173.201.69.22 
woz.ns.cloudflare.com	172.64.33.150 108.162.193.150 173.245.59.150 
ns1.afternic.com	97.74.99.64 
ns74.domaincontrol.com	173.201.74.47 
ns19.domaincontrol.com	97.74.109.10 
nova.ns.cloudflare.com	162.159.38.129 108.162.194.129 172.64.34.129 
ns07.domaincontrol.com	97.74.103.4 
jay.ns.cloudflare.com	108.162.193.123 172.64.33.123 173.245.59.123 
khalid.ns.cloudflare.com	108.162.195.53 162.159.44.53 172.64.35.53 
ns23.domaincontrol.com	97.74.101.12 
ns71.domaincontrol.com	97.74.105.46 
glen.ns.cloudflare.com	108.162.193.169 172.64.33.169 173.245.59.169 
aliza.ns.cloudflare.com	108.162.194.55 172.64.34.55 162.159.38.55 
ns51.domaincontrol.com	97.74.105.26 
danica.ns.cloudflare.com	172.64.34.187 108.162.194.187 162.159.38.187 
erin.ns.cloudflare.com	172.64.32.113 108.162.192.113 173.245.58.113 
rene.ns.cloudflare.com	172.64.35.180 162.159.44.180 108.162.195.180 
kellen.ns.cloudflare.com	162.159.44.160 172.64.35.160 108.162.195.160 
ns5.afternic.com	97.74.99.66 
vern.ns.cloudflare.com	108.162.193.243 172.64.33.243 173.245.59.243 
ns65.domaincontrol.com	97.74.102.43 
ns-cloud-d4.googledomains.com	216.239.38.109 
ns-cloud-e4.googledomains.com	216.239.38.110 
marge.ns.cloudflare.com	172.64.32.191 108.162.192.191 173.245.58.191 
carioca.ns.cloudflare.com	162.159.38.20 172.64.34.20 108.162.194.20 
sterling.ns.cloudflare.com	172.64.35.143 162.159.44.143 108.162.195.143 
ns-cloud-d1.googledomains.com	216.239.32.109 
ns-cloud-d3.googledomains.com	216.239.36.109 
addilyn.ns.cloudflare.com	108.162.194.217 172.64.34.217 162.159.38.217 
clayton.ns.cloudflare.com	172.64.35.226 162.159.44.226 108.162.195.226 
ns-cloud-d2.googledomains.com	216.239.34.109 
trevor.ns.cloudflare.com	172.64.35.154 108.162.195.154 162.159.44.154 
apollo.ns.cloudflare.com	108.162.193.66 173.245.59.66 172.64.33.66 
elsa.ns.cloudflare.com	172.64.32.111 173.245.58.111 108.162.192.111 
cheryl.ns.cloudflare.com	173.245.58.83 108.162.192.83 172.64.32.83 
nile.ns.cloudflare.com	108.162.193.214 173.245.59.214 172.64.33.214 
june.ns.cloudflare.com	108.162.192.176 172.64.32.176 173.245.58.176 
amalia.ns.cloudflare.com	108.162.194.94 172.64.34.94 162.159.38.94 
ns42.domaincontrol.com	173.201.68.21 
ns41.domaincontrol.com	97.74.100.21 
rick.ns.cloudflare.com	108.162.193.139 173.245.59.139 172.64.33.139 
dora.ns.cloudflare.com	108.162.192.108 173.245.58.108 172.64.32.108 
evan.ns.cloudflare.com	108.162.193.165 173.245.59.165 172.64.33.165 
